,author,published_at,updated_at,like_count,text
78,@aditeeapte4665,2024-06-14T05:47:48Z,2024-06-14T05:47:48Z,0,USA mein Indian system....hahaha poor girl...Ё?дгЁ?дг
79,@taherkureshi,2024-06-14T05:47:44Z,2024-06-14T05:47:44Z,0,рдпрд╣ рд?рддрд?рд?ре? рд╕реНрдерд╛рди рд╡рд╛рд▓ре?Ё??о рд?рдоре?рд░рд┐рд?рд╛ рд?ре? рд╣ре? рд╕рдкре?рд░реНрд? рд?рд░ре?рд?рд?ре?Ё??о 75 рд╕рд╛рд▓ рд╕ре? рд?рдкрдире? рд?рдмреНрдмре? рд?рдоре?рд░рд┐рд?рд╛ рд╕ре? рднре?рд? рдорд╛рд?рд? рд?рд░ рд?ре? рд?рд╛ рд░рд╣ре? рд╣ре?рд?Ё??? рд?рдирд?рд╛ рд╕рдкре?рд░реНрд? рд?рд░рдирд╛ рддре? рдмрдирддрд╛ рд╣ре? рднрд╛рд?Ё??о рд▓ре?рд?рд┐рди рдПрд? рдмрд╛рдд рд?рд╛ рдореБрдЭре? рдмрд╣реБрдд рд?рдлрд╕ре?рд╕ рд╣ре?Ё??о рдпрд╣ рд?рдирдкрдврд╝ рд?рд╡рд╛рд░ рд?рд╛рд╣рд┐рд▓ рд?ре?рдо рд╣рд░ рдмрд╛рд░ рд?рдкрдире? рд?рдмреНрдмре? рдмрджрд▓ рд▓ре?рддре? рд╣ре?рд? рд?рд░ рдлрд┐рд░ рдкрд╣рд▓ре? рд╡рд╛рд▓ре? рд?рдмреНрдмре? рд?ре? рд?рд╛рд▓ре? рджре?рдирд╛ рд╢реБрд░ре? рд?рд░ рджре?рддре? рд╣ре?рд? рд?рднре? рдиреНрдпре? рдмреНрд░рд╛рд?рдб рд?рдирд?ре? рд?рдмреНрдмре? рд╣ре? рд?ре?рди
80,@satwinderkaur118,2024-06-14T05:46:57Z,2024-06-14T05:46:57Z,0,OMG.koun he yeh log
81,@MrSingwithme,2024-06-14T05:46:23Z,2024-06-14T05:47:13Z,0,India ko support nahi karni aur USA ke match me india ke liye sare pottystan me duwayen chal rahi thi india ke jeetne ke liye Ё???Ё??? dogle pottystani log Ё???Ё???Ё???
82,@PawanKumarDubey-pc9dg,2024-06-14T05:45:37Z,2024-06-14T05:45:37Z,0,рд?рдп рд╢реНрд░ре? рд░рд╛рдоред рджре?рд╡ре? рд?ре? рдПрд╡рд? рд?рджрд░рдгре?рдп
83,@jaszthakor007,2024-06-14T05:42:33Z,2024-06-14T05:42:33Z,0,Jahil ladki Ё???
84,@yatra6392,2024-06-14T05:42:24Z,2024-06-14T05:42:24Z,0,madasra se padh ke aayi hui hai to yahi hal rehega
85,@krishnamedhi1886,2024-06-14T05:41:50Z,2024-06-14T05:42:14Z,0,Pakistan ko kun cricket khelna diya he khelne he nhy aata he sop ke saath harta he
86,@Umesh1154,2024-06-14T05:41:09Z,2024-06-14T05:41:09Z,0,Maine char Kasam ki jarurat hai
87,@vikrammeena8677,2024-06-14T05:39:54Z,2024-06-14T05:39:54Z,0,Burkha pahankar heeramandi ki raande ka interview ho rha haiЁ???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???
88,@WungreiyoZimik,2024-06-14T05:39:38Z,2024-06-14T05:39:38Z,0,Time for you to stop showing Pakistanis media disgusting better off begging.
89,@dineshpillai5531,2024-06-14T05:38:01Z,2024-06-14T05:38:01Z,0,рд?рдирд?рд╛ рджрд┐рдорд╛рд? рд?рд╛ рд╕рд┐рд╕реНрд?рдо рд?рдирдо рд╕ре? рд╣ре? рд?рдкрд?рд? рд╣ре?ред рдмрд?реНрд?ре? рдкре?рджрд╛ рд?рд░рдирд╛ рд╣ре? рд?рдирд?ре? рдПрд? рдорд╛рддреНрд░ рд?реНрд╖рдорддрд╛ рд╣ре?ред
90,@taherkureshi,2024-06-14T05:37:53Z,2024-06-14T05:37:53Z,0,75 рд╕рд╛рд▓ рд╕ре? рднре?рд?ре? рдирд?рд?ре? рдлрд┐рд░ рднре? рд?реБрдж рд?ре? рд╕рдордЭрддре? рд?рд?рд?ре?Ё??о рдкре?рд░ре? рджреБрдирд┐рдпрд╛ рдоре?рд? рд?рддрд?рд? рд╕ре? рд?рд░рддре? рдж рд?ре?Ё??о рд?реНрдпре?рд?рд?рд┐ рдпрд╣ рд?ре? рдо рд╣ре? рд?рд?рд?рд░рдире?рд╢рди рд▓рд┐ рднре?рд? рдо рд?ре?Ё??о рд╕рд╛рд▓рд╛ рдпре? рджреБрд? рд?рдирд?рд╛ рд?реНрдпре?рд? рд?рддреНрдо рдирд╣ре?рд? рд╣ре?рддрд╛ рдмре?Ё??оЁ???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???
91,@barunbiswas4157,2024-06-14T05:36:38Z,2024-06-14T05:36:38Z,0,"Kafi gawar kaum hain pakistan ki, magar jazba bahut hain"
92,@nirmalahir3149,2024-06-14T05:36:09Z,2024-06-14T05:36:09Z,0,Zahil kom zahil soch bhikhari Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???
93,@anvarsaiyed4240,2024-06-14T05:34:11Z,2024-06-14T05:34:11Z,0,Ё??Бkyu tumhare mai takat nahi hai ? Jahil or madarsa 6aap log Ё???Ё???
94,@animalandbirdloverabhisek,2024-06-14T05:33:21Z,2024-06-14T05:33:21Z,0,"Sahi to bolte hain. Hum use comedy maante hain. Lekin woh reasi ka attack karke ye baata diya, woh kitne serious hain. Lekin hum to ye comedy Maan kar khush hote hain.Ё??в 9 logon ki maut ka badla hum unka mazaak banake kar rahe hain.."
95,@kchada7898,2024-06-14T05:31:25Z,2024-06-14T05:31:25Z,0,Bunty bro pak mey sab kuty bheje detey
96,@jayeshbarotjayeshbarot3492,2024-06-14T05:30:57Z,2024-06-14T05:30:57Z,0,Fefade ko bolo Pakistan Hindustan Mein Se Hi Paida Hua Hai ..Tujhe kon Pasand karta hai fefade тЭдЁ???Ё??? .
97,@aksr6754,2024-06-14T05:30:51Z,2024-06-14T05:30:51Z,0,Madarsa students
98,@vikrammeena8677,2024-06-14T05:29:30Z,2024-06-14T05:29:30Z,0,Ye anpad heeramandi ki raande hai cricket kya jaaneЁ???Ё???Ё???
99,@patelpatel5217,2024-06-14T05:26:19Z,2024-06-14T05:26:19Z,0,HahaЁ??? madresaa ki jahil mulliaЁ???
